service_id,date,exception_type
8038,2021-01-12,1
8039,2021-01-12,2
8042,2021-01-11,1
8043,2021-01-11,2
567,2021-01-21,1
1755,2021-01-10,1
8052,2021-01-11,2
8052,2021-01-10,2
8053,2021-01-11,2
8055,2021-01-11,1
8057,2021-01-11,2
8061,2021-01-21,1
8063,2021-01-20,1
8063,2021-01-20,1
8063,2021-01-10,1
8063,2021-01-10,1
8063,2021-01-20,1
8063,2021-01-20,1
8065,2021-01-11,1
8065,2021-01-11,1
8066,2021-01-11,2
437,2021-01-11,1
8076,2021-01-13,1
8076,2021-01-20,1
8076,2021-01-20,1
8076,2021-01-21,1
8080,2021-01-11,2
8085,2021-01-11,2
8086,2021-01-10,1
8099,2021-01-11,2
8102,2021-01-11,1
2909,2021-01-11,2
8112,2021-01-10,2
238,2021-01-10,1
8114,2021-01-11,1
8115,2021-01-10,1
8118,2021-01-11,1
8121,2021-01-11,2
6036,2021-01-11,1
6036,2021-01-10,1
8124,2021-01-11,2
191,2021-01-10,1
8134,2021-01-10,1
8140,2021-01-11,1
8140,2021-01-10,1
8140,2021-01-10,2
8141,2021-01-12,1
8144,2021-01-10,1
8144,2021-01-10,2
8153,2021-01-21,1
8153,2021-01-21,1
8153,2021-01-22,1
8153,2021-01-22,1
8153,2021-01-22,1
8153,2021-01-23,1
8153,2022-10-10,1
8153,2022-10-10,1
326,2021-01-21,1
326,2021-01-22,1
326,2021-01-23,1
564,2021-01-21,1
410,2021-01-21,1
410,2021-01-21,1
410,2021-01-21,1
410,2021-01-22,1
410,2021-01-22,1
410,2021-01-22,1
410,2021-01-23,1
8158,2021-01-21,1
8158,2021-01-21,1
8158,2021-01-21,1
8158,2021-01-22,1
8158,2021-01-22,1
8158,2021-01-22,1
8158,2021-01-23,1
8159,2021-01-22,2
8159,2021-01-23,2
1591,2021-01-21,1
8161,2021-01-22,1
8161,2021-01-23,1
8163,2021-01-21,1
8163,2021-01-21,2
1824,2021-01-22,2
8164,2021-01-22,2
8164,2021-01-23,2
1593,2021-01-22,2
8167,2021-01-22,2
8167,2022-10-10,2
8168,2021-01-21,1
8168,2021-01-22,1
8168,2021-01-23,1
8170,2021-01-21,1
8170,2021-01-22,1
8170,2021-01-23,1
8171,2021-01-21,1
8171,2021-01-21,2
8172,2021-01-22,1
8172,2022-10-10,1
8172,2021-01-22,2
8172,2021-01-23,2
8174,2021-01-22,1
8174,2022-10-10,1
8175,2021-01-21,1
8175,2021-01-21,2
8177,2021-01-21,1
8177,2021-01-22,1
8177,2021-01-23,1
8178,2021-01-21,1
