seat_id,seat_number,car_id
2762335,43,37870
2762336,44,37870
2762337,45,37870
2762338,46,37870
2762339,47,37870
2762340,48,37870
2762341,49,37870
2762342,50,37870
2762343,51,37870
2762344,52,37870
2762345,53,37870
2762346,54,37870
2762347,55,37870
2762348,56,37870
2762349,57,37870
2762350,58,37870
2762351,59,37870
2762352,60,37870
2762353,61,37870
2762354,62,37870
2762355,63,37870
2762356,64,37870
2762357,65,37870
2762358,66,37870
2762359,67,37870
2762360,68,37870
2762361,69,37870
2762362,70,37870
2762363,71,37870
2762364,72,37870
2762365,73,37870
2762366,74,37870
2762367,75,37870
2762368,76,37870
2762369,77,37870
2762370,78,37870
2762371,79,37870
2762372,80,37870
2762373,81,37870
2762374,82,37870
2762375,83,37870
2762376,84,37870
2762377,85,37870
2762378,86,37870
2762379,87,37870
2762380,88,37870
2762381,1,37871
2762382,2,37871
2762383,3,37871
2762384,4,37871
2762385,5,37871
2762386,6,37871
2762387,7,37871
2762388,8,37871
2762389,9,37871
2762390,10,37871
2762391,11,37871
2762392,12,37871
2762393,13,37871
2762394,14,37871
2762395,15,37871
2762396,16,37871
2762397,17,37871
2762398,18,37871
2762399,19,37871
2762400,20,37871
2762401,21,37871
2762402,22,37871
2762403,23,37871
2762404,24,37871
2762405,25,37871
2762406,26,37871
2762407,27,37871
2762408,28,37871
2762409,29,37871
2762410,30,37871
2762411,31,37871
2762412,32,37871
2762413,33,37871
2762414,34,37871
2762415,35,37871
2762416,36,37871
2762417,37,37871
2762418,38,37871
2762419,39,37871
2762420,40,37871
2762421,41,37871
2762422,42,37871
2762423,43,37871
2762424,44,37871
2762425,45,37871
2762426,46,37871
2762427,47,37871
2762428,48,37871
2762429,49,37871
2762430,50,37871
2762431,51,37871
2762432,52,37871
2762433,53,37871
2762434,54,37871
2762435,55,37871
2762436,56,37871
2762437,57,37871
2762438,58,37871
2762439,1,37872
2762440,2,37872
2762441,3,37872
2762442,4,37872
2762443,5,37872
2762444,6,37872
2762445,7,37872
2762446,8,37872
2762447,9,37872
2762448,10,37872
2762449,11,37872
2762450,12,37872
2762451,13,37872
2762452,14,37872
2762453,15,37872
2762454,16,37872
2762455,17,37872
2762456,18,37872
2762457,19,37872
2762458,20,37872
2762459,21,37872
2762460,22,37872
2762461,23,37872
2762462,24,37872
2762463,25,37872
2762464,26,37872
2762465,27,37872
2762466,28,37872
2762467,29,37872
2762468,30,37872
2762469,31,37872
