service_id,date,exception_type
7863,20211219,1
7867,20211225,2
7867,20220101,2
7868,20211225,1
7868,20220101,1
309,20211225,2
309,20220101,2
332,20211225,2
332,20220101,2
7871,20211219,1
333,20211225,1
333,20220101,1
4229,20211225,1
4229,20220101,1
4229,20220131,2
548,20211225,2
548,20220101,2
3703,20211207,1
6619,20220208,1
1408,20211206,1
6621,20220205,2
6621,20220206,2
6620,20220208,2
6620,20220207,2
4650,20211212,1
74,20211205,1
4652,20211224,2
4652,20211231,2
4651,20211123,2
4651,20211127,2
4651,20211120,2
6634,20220131,2
402,20211225,2
402,20220101,2
1350,20220206,2
6627,20220206,1
6627,20211225,1
6627,20220101,1
6638,20211214,1
6638,20211215,1
6638,20211216,1
6638,20211218,1
6638,20220104,1
6638,20220105,1
6638,20220106,1
6638,20220107,1
6638,20220108,1
6638,20220111,1
6638,20220112,1
6638,20220113,1
6638,20220114,1
6638,20220115,1
6638,20211221,1
6638,20211222,1
6638,20211223,1
6638,20211224,1
6638,20211228,1
6638,20211229,1
6638,20211230,1
6638,20211231,1
6637,20211217,1
7872,20211122,1
6639,20220202,2
6639,20220203,2
6639,20220205,2
6639,20220206,2
6639,20220209,2
6639,20220210,2
6639,20220212,2
6639,20220213,2
7873,20211128,1
6625,20220206,2
6625,20220207,2
7875,20211121,1
5137,20220208,1
5139,20220208,2
5139,20220131,2
3621,20211225,2
3621,20220101,2
6612,20220131,2
6612,20220207,2
1640,20220207,1
4734,20220130,2
1639,20220131,2
1639,20220207,2
3445,20220207,2
4732,20211213,1
4732,20211214,1
4732,20211215,1
4732,20211216,1
4732,20211217,1
4732,20211218,1
4732,20211220,1
4732,20220209,1
4732,20220210,1
4732,20220211,1
4732,20220212,1
4732,20220214,1
4732,20220215,1
4732,20220216,1
4732,20220217,1
4732,20211221,1
4732,20211222,1
4732,20211223,1
4732,20211224,1
4732,20211227,1
4732,20211228,1
4732,20211229,1
4732,20211230,1
4732,20211231,1
4732,20220103,1
4732,20220201,1
4732,20220202,1
4732,20220203,1
4732,20220204,1
4732,20220207,1
4732,20220208,2
390,20220207,1
3202,20211128,2
3622,20211124,2
4733,20220208,1
570,20211212,1
2273,20211207,1
530,20220206,1
7876,20211225,2
7876,20220101,2
1981,20211225,1
1981,20220101,1
3738,20220206,2
6648,20220201,2
6648,20211225,2
6648,20220101,2
6666,20211225,1
6666,20220101,1
4735,20220130,1
6616,20211204,2
4879,20220101,2
4879,20211221,2
4879,20211222,2
4879,20211223,2
4879,20211225,2
6615,20220130,2
6615,20220201,2
6615,20220202,2
6615,20220203,2
6615,20220204,2
6615,20220205,2
6615,20220208,2
6615,20220209,2
6615,20220210,2
6615,20220211,2
6615,20220212,2
6617,20211204,1
2372,20211208,1
2372,20211209,1
2372,20211210,1
7094,20211125,1
1288,20211225,2
1288,20220101,2
2313,20211223,2
2313,20211230,2
812,20211121,1
1309,20211122,1
327,20211204,2
2909,20220212,1
346,20211224,2
346,20211231,2
334,20211224,1
334,20211231,1
334,20211225,2
334,20220101,2
405,20211225,1
405,20220101,1
1243,20211225,1
1243,20220101,1
2459,20211214,1
2459,20211215,1
2459,20211216,1
2459,20211217,1
2459,20211218,1
2459,20220104,1
2459,20220105,1
2459,20220106,1
2459,20220107,1
2459,20220108,1
2459,20211221,1
2459,20211222,1
2459,20211223,1
2459,20211224,1
2459,20211228,1
2459,20211229,1
2459,20211230,1
2459,20211231,1
2459,20220111,1
2459,20220118,1
3740,20211214,1
3740,20211215,1
3740,20211216,1
3740,20211217,1
3740,20211218,1
3740,20220104,1
3740,20220105,1
3740,20220106,1
3740,20220107,1
3740,20220108,1
3740,20220115,1
3740,20220122,1
3740,20211221,1
3740,20211222,1
3740,20211223,1
3740,20211224,1
3740,20211228,1
3740,20211229,1
3740,20211230,1
3740,20211231,1
200,20211204,2
1297,20211129,1
3688,20220215,1
3688,20220216,1
3688,20220217,1
628,20211213,1
7566,20211206,2
7566,20211207,2
7566,20211208,2
950,20211122,1
7598,20211122,1
5497,20211212,1
5497,20211206,2
5497,20211207,2
5497,20211208,2
4262,20211207,2
4262,20211208,2
4508,20211207,2
4508,20211208,2
4508,20211209,2
2134,20211207,2
2134,20211208,2
4392,20211204,2
4392,20211207,2
4392,20211208,2
1602,20211120,1
7600,20211207,2
7600,20211208,2
2335,20211218,1
2174,20211225,2
2174,20220101,2
2374,20211225,1
2374,20220101,1
3863,20211221,2
3863,20211222,2
3863,20211223,2
3863,20211224,2
3863,20211225,2
3863,20211228,2
3863,20211229,2
3863,20211230,2
3863,20211231,2
3863,20220101,2
168,20211204,1
201,20211221,2
201,20211222,2
201,20211223,2
201,20211224,2
201,20211225,2
201,20211228,2
201,20211229,2
201,20211230,2
201,20211231,2
201,20220101,2
15,20211206,1
6654,20211125,1
6654,20211126,2
7534,20211120,1
1123,20211120,1
5374,20211122,1
84,20211121,1
7192,20211121,1
75,20211121,1
7360,20211130,2
7360,20211202,2
7360,20211207,2
7360,20211209,2
299,20211127,1
1048,20211125,1
1851,20220203,1
2973,20220101,2
2973,20211221,2
2973,20211222,2
2973,20211223,2
2973,20211224,2
2973,20211225,2
2470,20211218,2
2470,20211221,2
2470,20211222,2
2470,20211223,2
2470,20211224,2
2470,20211225,2
2470,20211228,2
2470,20211229,2
2470,20211230,2
2470,20211231,2
2470,20220101,2
7102,20211218,2
7102,20211221,2
7102,20211222,2
7102,20211223,2
7102,20211224,2
7102,20211225,2
7102,20211228,2
7102,20211229,2
7102,20211230,2
7102,20211231,2
7102,20220101,2
1283,20211123,1
276,20211120,1
83,20211122,1
822,20220217,1
821,20211127,1
821,20211211,1
779,20211221,2
779,20211222,2
779,20211223,2
779,20211224,2
779,20211225,2
779,20211228,2
779,20211229,2
