route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_motor
OCE637148,7863,OCESN055245R0300325754,"55245",1,,,intercite
OCE637148,81,OCESN055237R0200225752,"55237",1,,,intercite
OCE637148,81,OCESN055259R0200225768,"55259",1,,,intercite
OCE637148,189,OCESN055261R0300325770,"55261",1,,,intercite
OCE637148,184,OCESN055295R0200225794,"55295",1,,,intercite
OCE637148,81,OCESN055255R0200225764,"55255",1,,,intercite
OCE637148,7864,OCESN055245R04004~CAR104568,"55245",1,,,intercite
OCE637148,7865,OCESN055245R03003~CAR104567,"55245",1,,,intercite
OCE637148,7866,OCESN055245R0400425755,"55245",1,,,intercite
OCE637148,184,OCESN055217R0300325744,"55217",1,,,intercite
OCE637148,481,OCESN055203R0300325741,"55203",1,,,intercite
OCE637148,189,OCESN055221R0300325747,"55221",1,,,intercite
OCE637148,6,OCESN055227R0300325749,"55227",1,,,intercite
OCE637148,81,OCESN055256R0200225765,"55256",0,,,intercite
OCE637148,184,OCESN055258R0200225767,"55258",0,,,intercite
OCE637148,183,OCESN055252R0200225761,"55252",0,,,intercite
OCE637148,185,OCESN055246R0100125756,"55246",0,,,intercite
OCE637148,185,OCESN055250R0400425759,"55250",0,,,intercite
OCE637148,81,OCESN055260R0200225769,"55260",0,,,intercite
OCE637148,184,OCESN055356R0200225806,"55356",0,,,intercite
OCE637148,81,OCESN055324R0300325800,"55324",0,,,intercite
OCE637148,81,OCESN055284R0200225787,"55284",0,,,intercite
OCE637148,189,OCESN055268R0400425776,"55268",0,,,intercite
OCE637148,81,OCESN055280R0200225785,"55280",0,,,intercite
OCE637148,7834,OCESN055228R0200225750,"55228",0,,,intercite
OCE2002149,7867,OCESN036871R06006~NCA104564,"36871",1,,,intercite
OCE2002149,7868,OCESN036871R07007~NCA104563,"36871",1,,,intercite
OCE2002149,7869,OCESN036872R05005~NCA104565,"36872",0,,,intercite
OCE701666,183,OCESN033175R0500520222,"33175",1,,,intercite
OCE701666,81,OCESN033173R0400420218,"33173",1,,,intercite
OCE701666,309,OCESN033151R0300320212,"33151",1,,,intercite
OCE701666,81,OCESN033143R0400420195,"33143",1,,,intercite
OCE701666,309,OCESN033143R0500520196,"33143",1,,,intercite
OCE701666,332,OCESN033141R0500520192,"33141",1,,,intercite
OCE701666,7870,OCESN033145R02002~CAR104562,"33145",1,,,intercite
OCE701666,183,OCESN033141R0400420191,"33141",1,,,intercite
OCE701666,368,OCESN033147R0400420204,"33147",1,,,intercite
OCE701666,81,OCESN033151R0200220211,"33151",1,,,intercite
OCE701666,184,OCESN033147R0300320203,"33147",1,,,intercite
OCE701666,7871,OCESN033145R0200220199,"33145",1,,,intercite
OCE701666,368,OCESN033145R0300320200,"33145",1,,,intercite
OCE701666,309,OCESN033149R0300320207,"33149",1,,,intercite
OCE701666,81,OCESN033149R0200220208,"33149",1,,,intercite
OCE701666,81,OCESN033123R0200220168,"33123",1,,,intercite
OCE701666,839,OCESN033123R0300320167,"33123",1,,,intercite
OCE701666,309,OCESN033129R0300320179,"33129",1,,,intercite
OCE701666,309,OCESN033125R0400420171,"33125",1,,,intercite
OCE701666,81,OCESN033127R0300320176,"33127",1,,,intercite
OCE701666,309,OCESN033127R0400420175,"33127",1,,,intercite
OCE701666,81,OCESN033125R0300320172,"33125",1,,,intercite
OCE701666,185,OCESN033139R0200220188,"33139",1,,,intercite
OCE701666,81,OCESN033121R0300320164,"33121",1,,,intercite
OCE701666,309,OCESN033121R0400420163,"33121",1,,,intercite
OCE701666,370,OCESN033139R0300320187,"33139",1,,,intercite
OCE701666,81,OCESN033129R0200220180,"33129",1,,,intercite
OCE701666,368,OCESN033131R0300320181,"33131",1,,,intercite
OCE701666,184,OCESN033131R0200220182,"33131",1,,,intercite
OCE701666,309,OCESN033115R0300320159,"33115",1,,,intercite
OCE701666,81,OCESN033115R0200220160,"33115",1,,,intercite
OCE701666,309,OCESN033111R0300320153,"33111",1,,,intercite
OCE701666,81,OCESN033111R0200220154,"33111",1,,,intercite
OCE701666,309,OCESN033144R0400420197,"33144",0,,,intercite
OCE701666,81,OCESN033144R0300320198,"33144",0,,,intercite
OCE701666,309,OCESN033142R0300320193,"33142",0,,,intercite
OCE701666,81,OCESN033142R0200220194,"33142",0,,,intercite
OCE701666,184,OCESN033150R0200220210,"33150",0,,,intercite
OCE701666,368,OCESN033150R0300320209,"33150",0,,,intercite
OCE701666,309,OCESN033152R0200220214,"33152",0,,,intercite
OCE701666,81,OCESN033152R0100120213,"33152",0,,,intercite
OCE701666,184,OCESN033146R0200220202,"33146",0,,,intercite
OCE701666,368,OCESN033146R0300320201,"33146",0,,,intercite
OCE701666,184,OCESN033148R0300320206,"33148",0,,,intercite
OCE701666,368,OCESN033148R0400420205,"33148",0,,,intercite
OCE701666,81,OCESN033140R0300320190,"33140",0,,,intercite
OCE701666,309,OCESN033140R0400420189,"33140",0,,,intercite
OCE701666,81,OCESN033122R0200220166,"33122",0,,,intercite
OCE701666,185,OCESN033138R0300320186,"33138",0,,,intercite
OCE701666,333,OCESN033138R0400420185,"33138",0,,,intercite
OCE701666,309,OCESN033120R0400420162,"33120",0,,,intercite
OCE701666,81,OCESN033120R0300320161,"33120",0,,,intercite
OCE701666,309,OCESN033122R0300320165,"33122",0,,,intercite
OCE701666,81,OCESN033124R0300320170,"33124",0,,,intercite
OCE701666,309,OCESN033126R0300320174,"33126",0,,,intercite
OCE701666,309,OCESN033124R0400420169,"33124",0,,,intercite
OCE701666,81,OCESN033126R0200220173,"33126",0,,,intercite
OCE701666,368,OCESN033134R0300320183,"33134",0,,,intercite
OCE701666,184,OCESN033134R0200220184,"33134",0,,,intercite
OCE701666,81,OCESN033128R0300320177,"33128",0,,,intercite
OCE701666,309,OCESN033128R0400420178,"33128",0,,,intercite
OCE701666,81,OCESN033172R0500520216,"33172",0,,,intercite
OCE701666,81,OCESN033176R0400420224,"33176",0,,,intercite
OCE701666,184,OCESN033174R0400420220,"33174",0,,,intercite
OCE701666,81,OCESN033112R0200220156,"33112",0,,,intercite
OCE701666,309,OCESN033112R0300320155,"33112",0,,,intercite
OCE701666,81,OCESN033114R0200220158,"33114",0,,,intercite
OCE701666,309,OCESN033114R0300320157,"33114",0,,,intercite
OCE1506035,190,OCESN037071R0100122977,"37071",1,,,intercite
OCE16628,4229,OCESN003625F450459582,"3625",1,,,intercite
OCE16628,548,OCESN003675F130139646,"3675",1,,,intercite
OCE16628,4227,OCESN003625F410419580,"3625",1,,,intercite
OCE16628,4556,OCESN003675F060069644,"3675",1,,,intercite
OCE16628,291,OCESN003675F120129645,"3675",1,,,intercite
OCE16628,3703,OCESN003655F090099625,"3655",1,,,intercite
OCE16628,6619,OCESN003655F250259626,"3655",1,,,intercite
