service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8039,0,1,1,0,0,0,0,20211117,20211125
8040,1,0,0,1,0,0,0,20211116,20211126
467,0,0,0,0,1,0,0,20211106,20211211
8041,0,0,0,0,1,0,0,20211106,20211211
249,0,0,0,0,0,1,0,20211107,20211212
8043,1,1,1,1,0,0,0,20211102,20211210
8044,1,1,1,1,0,0,0,20211102,20211210
8045,1,1,1,1,0,1,1,20211102,20211212
1418,0,0,0,0,1,0,0,20211106,20211113
1265,0,0,0,0,1,0,0,20211120,20211211
8046,0,0,0,0,0,1,0,20211107,20211205
8047,0,0,0,0,1,1,1,20211106,20211211
8048,0,0,0,0,0,0,1,20211108,20211206
8049,0,0,0,0,1,0,0,20211106,20211211
8050,0,1,1,1,1,0,0,20211103,20211211
8051,0,0,0,0,0,0,1,20211108,20211206
8052,1,1,1,1,0,0,0,20211102,20211210
8053,1,1,1,1,0,0,0,20211102,20211210
8054,1,0,0,0,0,0,0,20211102,20211207
8056,1,1,1,1,0,0,0,20211102,20211210
8057,1,1,1,1,0,0,0,20211102,20211210
8058,0,0,0,0,1,0,0,20211120,20211204
8059,0,0,0,0,0,0,1,20211108,20211206
8060,0,0,0,0,0,1,0,20211107,20211205
8062,0,0,0,0,1,1,1,20211106,20211211
8064,1,0,0,0,0,0,0,20211102,20211109
8065,0,0,0,0,1,0,0,20211106,20211211
8066,0,1,1,1,1,0,0,20211103,20211211
8067,1,1,1,1,0,1,0,20211102,20211212
8068,1,0,0,0,1,0,1,20211102,20211211
4217,0,0,0,1,0,0,0,20211105,20211210
8069,1,0,0,0,0,0,0,20211102,20211207
8070,1,0,0,0,0,0,0,20211116,20211207
172,0,1,1,1,1,0,0,20211103,20211211
8071,0,0,0,0,1,1,0,20211106,20211212
8072,0,1,1,1,0,1,1,20211103,20211212
8073,1,1,1,0,0,0,0,20211102,20211209
8074,0,1,1,1,0,0,0,20211103,20211210
8075,0,1,1,1,0,1,0,20211103,20211212
2,0,0,0,0,0,0,1,20211108,20211206
8076,1,0,0,1,0,0,0,20211102,20211115
1550,0,0,0,0,1,0,1,20211120,20211211
8077,0,0,0,0,1,0,1,20211106,20211115
8078,1,0,0,0,0,0,0,20211102,20211207
8079,1,0,0,0,1,0,1,20211102,20211211
8080,0,1,1,1,0,0,0,20211103,20211112
8081,1,0,0,0,1,0,0,20211102,20211211
8082,1,0,0,0,0,0,0,20211109,20211207
8083,0,1,1,1,0,0,0,20211117,20211210
8084,0,0,0,1,1,0,0,20211105,20211211
8085,1,1,1,1,0,0,0,20211102,20211210
8087,0,1,1,1,0,0,1,20211103,20211210
8088,0,0,0,0,0,0,1,20211108,20211206
8089,1,0,0,0,0,0,0,20211102,20211207
829,1,1,1,1,1,0,0,20211116,20211211
5889,1,1,1,1,0,0,1,20211102,20211210
1818,1,1,1,1,1,0,0,20211102,20211113
8090,0,1,1,1,1,0,0,20211103,20211211
236,0,0,0,0,0,0,1,20211122,20211206
8091,0,0,0,0,1,0,0,20211120,20211211
184,0,0,0,0,0,0,1,20211108,20211115
8092,1,1,1,1,0,0,0,20211102,20211112
8093,1,1,1,1,0,0,0,20211116,20211210
8094,0,0,0,0,1,1,1,20211106,20211115
8095,1,0,0,0,0,1,1,20211102,20211212
8096,0,0,0,0,1,1,1,20211120,20211212
8097,1,1,1,1,0,1,1,20211102,20211212
8098,1,0,0,0,0,0,0,20211102,20211207
8099,0,1,1,1,1,0,0,20211103,20211211
8100,0,1,1,1,1,0,0,20211117,20211211
8101,0,1,1,1,1,0,0,20211103,20211113
2909,1,1,1,1,0,0,0,20211102,20211112
1350,1,1,1,1,0,0,0,20211116,20211210
8103,1,0,0,0,0,0,0,20211102,20211109
9,0,0,0,0,0,1,0,20211107,20211205
8104,0,0,0,0,0,1,1,20211107,20211115
8105,1,0,0,0,0,0,0,20211116,20211207
3062,0,0,0,0,1,1,1,20211120,20211211
8106,0,0,0,0,1,0,0,20211106,20211211
8107,1,1,1,0,0,0,0,20211102,20211209
8108,0,0,0,0,1,0,0,20211106,20211113
8109,0,0,0,0,1,0,0,20211120,20211211
8110,0,1,1,1,0,1,0,20211103,20211212
8111,0,1,1,1,0,0,0,20211117,20211210
8112,0,1,0,0,1,0,0,20211103,20211113
8113,0,1,1,1,1,0,0,20211103,20211113
8116,0,1,0,0,1,0,0,20211117,20211211
8117,1,0,1,1,0,1,0,20211102,20211114
8119,0,1,1,1,0,0,0,20211103,20211112
8120,1,0,1,1,0,1,0,20211116,20211212
8121,0,1,1,1,0,0,0,20211103,20211210
8122,0,1,1,1,0,0,0,20211117,20211210
8123,0,1,1,1,1,0,0,20211117,20211211
266,0,0,0,0,0,1,0,20211121,20211212
6036,0,0,0,0,0,0,1,20211107,20211206
8124,0,1,1,1,0,0,0,20211103,20211112
8125,1,0,0,0,1,1,0,20211102,20211212
8126,1,1,1,1,0,0,1,20211102,20211210
8127,1,0,0,0,1,0,1,20211102,20211211
8128,1,1,1,1,0,0,0,20211116,20211210
8129,1,1,1,1,0,0,0,20211102,20211112
5988,0,0,0,0,0,0,1,20211108,20211115
5984,0,0,0,0,0,0,1,20211122,20211206
8130,1,0,1,1,0,0,0,20211116,20211210
8131,0,1,0,0,1,0,0,20211117,20211211
8132,1,0,0,0,0,0,0,20211116,20211207
8133,0,0,0,0,0,0,1,20211108,20211115
8135,1,0,0,0,0,1,1,20211102,20211115
8136,1,0,0,0,1,1,1,20211116,20211212
8137,0,1,0,0,1,0,0,20211103,20211113
8138,0,1,1,1,0,0,0,20211103,20211210
8139,1,0,0,0,0,0,0,20211102,20211109
8140,0,0,0,1,0,0,1,20211105,20211210
8142,1,0,0,0,0,0,0,20211116,20211207
8143,1,0,0,0,0,0,0,20211102,20211109
8144,1,0,0,1,0,0,0,20211104,20211112
2033,1,1,1,1,1,1,0,20211116,20211212
2578,1,1,1,1,1,1,0,20211102,20211114
8145,1,1,1,1,1,1,0,20211102,20211114
993,1,1,1,1,1,1,0,20211116,20211211
2866,1,1,1,1,1,0,1,20211116,20211211
8146,1,1,0,0,0,0,0,20211102,20211103
8147,1,1,1,1,1,0,1,20211102,20211115
2385,1,1,1,1,1,1,1,20211116,20211211
8148,1,1,1,1,1,1,1,20211104,20211115
6850,1,1,0,0,0,0,0,20211102,20211103
6851,1,1,1,1,1,1,1,20211104,20211115
8149,1,1,0,0,0,0,0,20211102,20211103
8150,1,1,1,1,1,1,0,20211102,20211114
8151,1,1,1,1,0,0,0,20211104,20211210
6818,0,0,0,0,1,1,0,20211106,20211212
8152,0,0,0,0,0,0,1,20220110,20220124
8153,0,0,0,0,1,1,0,20220104,20220130
8154,0,0,0,0,0,0,1,20211213,20220124
8155,0,0,0,0,0,0,1,20211213,20220103
323,0,0,0,0,0,1,0,20211219,20220130
326,0,0,0,0,1,0,0,20220104,20220129
576,0,0,0,0,0,0,1,20211213,20220124
788,0,0,0,0,1,0,0,20211225,20220101
1663,1,0,0,0,0,0,1,20211213,20220125
8156,0,0,0,0,0,1,0,20220109,20220130
564,0,0,0,0,1,0,0,20220104,20220129
533,0,0,0,1,0,0,0,20211224,20211231
8157,0,0,0,0,1,1,0,20211219,20220102
410,0,1,1,1,0,0,0,20220104,20220128
3113,1,0,0,0,0,0,0,20211214,20220125
8158,0,1,1,1,0,0,0,20220104,20220128
8159,1,1,1,1,0,0,0,20211214,20220128
1587,0,0,0,0,1,0,0,20220108,20220129
1591,0,0,0,1,0,0,0,20211218,20211231
8160,0,0,0,0,0,0,1,20211213,20220124
8161,0,0,0,0,1,1,1,20211213,20220130
8162,0,0,0,0,1,0,1,20220108,20220129
8163,0,0,0,1,0,0,1,20211213,20220103
1824,1,1,1,1,1,0,0,20211214,20211231
263,0,0,0,0,0,1,0,20211107,20211114
2153,0,0,0,0,0,1,0,20220109,20220130
8164,1,1,1,1,0,0,0,20211214,20220128
8165,0,0,0,0,0,1,0,20220109,20220130
1149,1,1,1,1,1,0,0,20220104,20220129
2319,0,0,0,0,1,1,0,20211219,20220102
1593,1,1,1,1,0,0,0,20211214,20211230
6244,1,1,1,1,0,0,0,20220104,20220128
8166,0,0,0,0,1,1,0,20211219,20220102
8167,1,1,1,1,1,0,0,20211214,20220129
8168,0,0,0,0,1,0,0,20220104,20220129
4251,0,0,0,0,1,1,0,20211219,20220102
8169,1,1,1,1,0,1,0,20220104,20220130
8170,0,0,0,0,1,0,0,20220104,20220129
8171,1,1,1,0,1,1,0,20211214,20220102
8172,1,1,1,1,0,1,1,20211213,20220130
8173,0,0,0,0,1,0,1,20220108,20220129
8174,0,0,0,0,0,1,1,20211213,20220130
8175,0,0,0,1,0,0,1,20211213,20220103
399,0,0,0,0,0,0,1,20211213,20220124
8176,0,1,1,1,1,1,1,20211213,20220103
8177,0,0,0,0,1,0,0,20220104,20220129
