seat_id,seat_number,car_id
920781,7,12669
920782,8,12669
920783,9,12669
920784,10,12669
920785,11,12669
920786,12,12669
920787,13,12669
920788,14,12669
920789,15,12669
920790,16,12669
920791,17,12669
920792,18,12669
920793,19,12669
920794,20,12669
920795,21,12669
920796,22,12669
920797,23,12669
920798,24,12669
920799,25,12669
920800,26,12669
920801,27,12669
920802,28,12669
920803,29,12669
920804,30,12669
920805,31,12669
920806,32,12669
920807,33,12669
920808,34,12669
920809,35,12669
920810,36,12669
920811,37,12669
920812,38,12669
920813,39,12669
920814,40,12669
920815,41,12669
920816,42,12669
920817,43,12669
920818,44,12669
920819,45,12669
920820,46,12669
920821,47,12669
920822,48,12669
920823,49,12669
920824,50,12669
920825,51,12669
920826,52,12669
920827,53,12669
920828,54,12669
920829,55,12669
920830,56,12669
920831,57,12669
920832,58,12669
920833,59,12669
920834,60,12669
920835,61,12669
920836,62,12669
920837,63,12669
920838,64,12669
920839,65,12669
920840,66,12669
920841,67,12669
920842,68,12669
920843,69,12669
920844,70,12669
920845,71,12669
920846,72,12669
920847,73,12669
920848,74,12669
920849,75,12669
920850,76,12669
920851,77,12669
920852,78,12669
920853,79,12669
920854,80,12669
920855,81,12669
920856,82,12669
920857,83,12669
920858,84,12669
920859,85,12669
920860,86,12669
920861,87,12669
920862,88,12669
920863,1,12670
920864,2,12670
920865,3,12670
920866,4,12670
920867,5,12670
920868,6,12670
920869,7,12670
920870,8,12670
920871,9,12670
920872,10,12670
920873,11,12670
920874,12,12670
920875,13,12670
920876,14,12670
920877,15,12670
920878,16,12670
920879,17,12670
920880,18,12670
920881,19,12670
920882,20,12670
920883,21,12670
920884,22,12670
920885,23,12670
920886,24,12670
920887,25,12670
920888,26,12670
920889,27,12670
920890,28,12670
920891,29,12670
920892,30,12670
920893,31,12670
920894,32,12670
920895,33,12670
920896,34,12670
920897,35,12670
920898,36,12670
920899,37,12670
920900,38,12670
920901,39,12670
920902,40,12670
920903,41,12670
920904,42,12670
920905,43,12670
920906,44,12670
920907,45,12670
920908,46,12670
920909,47,12670
920910,48,12670
920911,49,12670
920912,50,12670
920913,51,12670
920914,52,12670
920915,53,12670
920916,54,12670
920917,55,12670
920918,56,12670
920919,57,12670
920920,58,12670
920921,1,12671
920922,2,12671
920923,3,12671
920924,4,12671
920925,5,12671
920926,6,12671
920927,7,12671
920928,8,12671
920929,9,12671
920930,10,12671
920931,11,12671
920932,12,12671
920933,13,12671
920934,14,12671
920935,15,12671
920936,16,12671
920937,17,12671
920938,18,12671
920939,19,12671
920940,20,12671
920941,21,12671
920942,22,12671
920943,23,12671
920944,24,12671
920945,25,12671
920946,26,12671
920947,27,12671
920948,28,12671
920949,29,12671
920950,30,12671
920951,31,12671
920952,32,12671
920953,33,12671
920954,34,12671
920955,35,12671
920956,36,12671
920957,37,12671
920958,38,12671
920959,39,12671
920960,40,12671
920961,41,12671
920962,42,12671
920963,43,12671
920964,44,12671
920965,45,12671
920966,46,12671
920967,47,12671
920968,48,12671
920969,49,12671
920970,50,12671
920971,51,12671
920972,52,12671
920973,53,12671
920974,54,12671
920975,55,12671
920976,56,12671
920977,57,12671
920978,58,12671
920979,1,12672
920980,2,12672
920981,3,12672
920982,4,12672
920983,5,12672
920984,6,12672
920985,7,12672
920986,8,12672
920987,9,12672
920988,10,12672
920989,11,12672
920990,12,12672
920991,13,12672
920992,14,12672
920993,15,12672
920994,16,12672
920995,17,12672
920996,18,12672
920997,19,12672
920998,20,12672
920999,21,12672
921000,22,12672
921001,23,12672
921002,24,12672
921003,25,12672
921004,26,12672
921005,27,12672
921006,28,12672
921007,29,12672
921008,30,12672
921009,31,12672
921010,32,12672
921011,33,12672
921012,34,12672
921013,35,12672
921014,36,12672
921015,37,12672
921016,38,12672
921017,39,12672
921018,40,12672
921019,41,12672
921020,42,12672
921021,43,12672
921022,44,12672
921023,45,12672
921024,46,12672
921025,47,12672
921026,48,12672
921027,49,12672
921028,50,12672
921029,51,12672
921030,52,12672
921031,53,12672
921032,54,12672
921033,55,12672
921034,56,12672
921035,57,12672
921036,58,12672
921037,59,12672
921038,60,12672
921039,61,12672
921040,62,12672
921041,63,12672
921042,64,12672
921043,65,12672
921044,66,12672
921045,67,12672
921046,68,12672
921047,69,12672
921048,70,12672
921049,71,12672
921050,72,12672
921051,73,12672
921052,74,12672
921053,75,12672
921054,76,12672
921055,77,12672
921056,78,12672
921057,79,12672
921058,80,12672
921059,81,12672
921060,82,12672
921061,83,12672
921062,84,12672
921063,85,12672
921064,86,12672
921065,87,12672
921066,88,12672
921067,1,12673
921068,2,12673
921069,3,12673
921070,4,12673
921071,5,12673
921072,6,12673
921073,7,12673
921074,8,12673
921075,9,12673
921076,10,12673
921077,11,12673
921078,12,12673
921079,13,12673
921080,14,12673
921081,15,12673
921082,16,12673
921083,17,12673
921084,18,12673
921085,19,12673
921086,20,12673
921087,21,12673
921088,22,12673
921089,23,12673
921090,24,12673
921091,25,12673
921092,26,12673
921093,27,12673
921094,28,12673
921095,29,12673
921096,30,12673
921097,31,12673
921098,32,12673
921099,33,12673
921100,34,12673
921101,35,12673
921102,36,12673
921103,37,12673
921104,38,12673
921105,39,12673
921106,40,12673
921107,41,12673
921108,42,12673
921109,43,12673
921110,44,12673
921111,45,12673
921112,46,12673
921113,47,12673
921114,48,12673
921115,49,12673
921116,50,12673
921117,51,12673
921118,52,12673
921119,53,12673
921120,54,12673
921121,55,12673
921122,56,12673
921123,57,12673
921124,58,12673
921125,59,12673
921126,60,12673
921127,61,12673
921128,62,12673
921129,63,12673
921130,64,12673
921131,65,12673
921132,66,12673
921133,67,12673
921134,68,12673
921135,69,12673
921136,70,12673
921137,71,12673
921138,72,12673
921139,73,12673
921140,74,12673
921141,75,12673
921142,76,12673
921143,77,12673
921144,78,12673
921145,79,12673
921146,80,12673
921147,81,12673
921148,82,12673
921149,83,12673
921150,84,12673
921151,85,12673
921152,86,12673
921153,87,12673
921154,88,12673
921155,1,12674
921156,2,12674
921157,3,12674
921158,4,12674
921159,5,12674
921160,6,12674
921161,7,12674
921162,8,12674
921163,9,12674
921164,10,12674
921165,11,12674
921166,12,12674
921167,13,12674
921168,14,12674
921169,15,12674
921170,16,12674
921171,17,12674
921172,18,12674
921173,19,12674
921174,20,12674
921175,21,12674
921176,22,12674
921177,23,12674
921178,24,12674
921179,25,12674
921180,26,12674
921181,27,12674
921182,28,12674
921183,29,12674
921184,30,12674
921185,31,12674
921186,32,12674
921187,33,12674
921188,34,12674
921189,35,12674
921190,36,12674
921191,37,12674
921192,38,12674
921193,39,12674
921194,40,12674
921195,41,12674
921196,42,12674
921197,43,12674
921198,44,12674
921199,45,12674
921200,46,12674
921201,47,12674
921202,48,12674
921203,49,12674
921204,50,12674
921205,51,12674
921206,52,12674
921207,53,12674
921208,54,12674
921209,55,12674
921210,56,12674
921211,57,12674
921212,58,12674
921213,1,12675
921214,2,12675
921215,3,12675
921216,4,12675
921217,5,12675
921218,6,12675
921219,7,12675
921220,8,12675
921221,9,12675
921222,10,12675
921223,11,12675
921224,12,12675
921225,13,12675
921226,14,12675
921227,15,12675
921228,16,12675
921229,17,12675
921230,18,12675
921231,19,12675
921232,20,12675
921233,21,12675
921234,22,12675
921235,23,12675
921236,24,12675
921237,25,12675
921238,26,12675
921239,27,12675
921240,28,12675
921241,29,12675
921242,30,12675
921243,31,12675
921244,32,12675
921245,33,12675
921246,34,12675
921247,35,12675
921248,36,12675
921249,37,12675
921250,38,12675
921251,39,12675
921252,40,12675
921253,41,12675
921254,42,12675
921255,43,12675
921256,44,12675
921257,45,12675
921258,46,12675
921259,47,12675
921260,48,12675
921261,49,12675
921262,50,12675
921263,51,12675
921264,52,12675
921265,53,12675
921266,54,12675
921267,55,12675
921268,56,12675
921269,57,12675
921270,58,12675
921271,1,12676
921272,2,12676
921273,3,12676
921274,4,12676
921275,5,12676
921276,6,12676
921277,7,12676
921278,8,12676
921279,9,12676
921280,10,12676
921281,11,12676
921282,12,12676
921283,13,12676
921284,14,12676
921285,15,12676
921286,16,12676
921287,17,12676
