service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
81,1,1,1,1,1,0,0,20201119,20201211
189,1,1,1,1,1,1,1,20201119,20201212
184,0,0,0,0,0,1,0,20201121,20201212
7864,1,1,1,1,1,0,0,20201119,20201211
7865,0,0,0,0,0,1,0,20201121,20201212
7866,1,1,1,1,1,0,0,20201214,20201218
481,0,0,0,0,1,0,1,20201120,20201211
6,1,1,1,1,1,0,1,20201119,20201211
183,1,1,1,1,1,1,0,20201119,20201212
185,0,0,0,0,0,0,1,20201122,20201206
7834,0,0,0,0,0,1,1,20201121,20201212
7867,1,1,1,1,1,0,0,20201214,20210217
7868,0,0,0,0,0,1,1,20201213,20210214
7869,1,1,1,1,1,1,1,20201213,20210217
309,1,1,1,1,1,0,0,20201214,20210217
332,1,1,1,1,1,1,0,20201214,20210217
7870,0,0,0,0,0,1,0,20201121,20201212
368,0,0,0,0,0,1,0,20201219,20210213
839,1,1,1,1,1,0,0,20201214,20210217
370,0,0,0,0,0,0,1,20201213,20210214
333,0,0,0,0,0,0,1,20201213,20210214
190,1,1,1,1,0,0,0,20201119,20201210
4229,0,0,0,0,0,1,1,20201213,20210214
548,0,0,0,0,1,0,0,20201218,20210212
4227,0,0,0,0,0,1,0,20201205,20201212
4556,1,1,1,1,1,0,0,20201201,20201211
291,1,1,1,1,0,0,0,20201214,20210217
3703,0,1,1,1,1,1,1,20201201,20201212
6619,0,0,0,0,0,0,1,20210207,20210208
2506,0,0,0,0,0,0,1,20201213,20210214
6623,0,0,0,0,1,1,0,20210205,20210206
6621,0,0,0,0,1,1,0,20201218,20210213
6620,1,1,1,1,0,0,1,20201213,20210217
4650,0,0,0,0,0,0,1,20201206,20201212
4652,1,1,1,1,1,0,0,20201214,20210217
4651,1,1,1,1,1,0,0,20201119,20201211
999,0,0,0,1,0,0,0,20201224,20201231
6634,0,0,0,0,0,0,1,20201213,20210214
402,1,1,1,1,1,0,0,20201214,20210217
4649,0,0,0,0,0,1,1,20201213,20210214
6633,1,1,1,1,1,0,0,20201201,20201211
3798,0,0,0,0,0,1,1,20201205,20201212
1350,0,0,0,0,0,1,0,20201219,20210213
426,1,1,1,1,1,1,1,20201213,20210217
5522,1,1,1,1,1,0,0,20201201,20201211
4193,0,0,0,0,0,1,1,20201205,20201212
6627,0,0,0,0,0,0,1,20201213,20210214
6638,1,1,1,0,1,0,0,20210118,20210217
6637,0,0,0,1,0,0,0,20210118,20210211
2075,1,1,1,1,1,1,0,20201201,20201212
382,0,0,0,0,0,1,1,20210206,20210207
6639,1,1,1,1,1,1,0,20201214,20210215
7874,0,0,0,0,0,1,1,20201129,20201212
6625,1,1,1,1,1,1,1,20201213,20210217
849,1,1,1,1,1,0,0,20201119,20201211
3791,1,1,1,1,1,1,0,20201201,20201212
5139,1,1,1,1,1,1,1,20201213,20210217
6642,0,1,1,0,1,1,0,20210202,20210217
3621,0,1,1,1,1,0,0,20201215,20210217
6612,1,1,1,1,1,0,1,20201213,20210217
421,0,0,0,0,0,1,0,20201219,20210213
2806,1,1,1,1,1,1,0,20201214,20210217
560,0,0,0,0,1,0,0,20201225,20210101
4734,0,0,0,0,0,1,0,20201219,20210213
1639,0,0,0,0,0,0,1,20201213,20210214
233,0,0,0,0,0,1,0,20201205,20201212
3445,0,0,0,0,0,0,1,20201213,20210214
4732,1,1,1,1,1,0,1,20210104,20210131
3202,0,0,0,0,0,1,1,20201122,20201212
4897,0,0,0,0,1,0,0,20201225,20210101
4731,1,1,1,1,1,0,0,20201201,20201211
4899,0,0,0,0,0,1,1,20201213,20210214
3622,0,1,1,1,1,0,0,20201119,20201211
4733,0,0,0,0,1,0,0,20210205,20210208
2883,0,0,0,0,0,0,1,20201213,20210214
1902,1,0,0,0,0,0,0,20201214,20210215
1636,0,0,0,0,0,0,1,20201213,20210214
7876,1,1,1,1,1,0,0,20201214,20210217
7877,1,1,1,1,1,0,0,20201201,20201211
1981,0,0,0,0,0,1,0,20201219,20210213
3737,1,1,1,1,1,0,0,20201201,20201211
3738,1,1,1,1,1,1,0,20201214,20210217
5611,0,1,1,1,1,0,0,20201201,20201211
6648,1,1,1,1,1,0,0,20201214,20210217
6666,0,0,0,0,0,1,1,20201213,20210214
6616,1,1,1,1,1,0,0,20201201,20201211
4877,0,0,0,1,1,0,0,20201119,20201120
180,1,1,1,1,1,0,0,20201123,20201211
4879,1,1,1,1,1,0,0,20201214,20210217
4161,1,1,1,0,0,0,0,20201221,20201223
261,0,0,0,0,0,1,0,20201121,20201212
6615,1,1,1,1,1,1,1,20201213,20210214
6614,1,1,1,1,1,0,0,20210201,20210217
204,1,1,1,1,1,0,0,20201123,20201127
2372,1,1,1,1,1,0,0,20201123,20201129
414,1,1,1,1,1,0,0,20201119,20201127
203,0,0,0,1,1,0,0,20201119,20201120
1121,1,1,1,1,1,0,0,20201119,20201204
