service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
81,1,1,1,1,1,0,0,2020-01-11,2020-01-21
189,1,1,1,1,1,1,1,2020-01-11,2020-01-21
184,0,0,0,0,0,1,0,2020-01-12,2020-01-21
7864,1,1,1,1,1,0,0,2020-01-11,2020-01-21
7865,0,0,0,0,0,1,0,2020-01-12,2020-01-21
7866,1,1,1,1,1,0,0,2020-01-21,2020-01-21
481,0,0,0,0,1,0,1,2020-01-12,2020-01-21
6,1,1,1,1,1,0,1,2020-01-11,2020-01-21
183,1,1,1,1,1,1,0,2020-01-11,2020-01-21
185,0,0,0,0,0,0,1,2020-01-12,2020-01-20
7834,0,0,0,0,0,1,1,2020-01-12,2020-01-21
7867,1,1,1,1,1,0,0,2020-01-21,2021-10-21
7868,0,0,0,0,0,1,1,2020-01-21,2021-10-21
7869,1,1,1,1,1,1,1,2020-01-21,2021-10-21
309,1,1,1,1,1,0,0,2020-01-21,2021-10-21
332,1,1,1,1,1,1,0,2020-01-21,2021-10-21
7870,0,0,0,0,0,1,0,2020-01-12,2020-01-21
368,0,0,0,0,0,1,0,2020-01-21,2021-10-21
839,1,1,1,1,1,0,0,2020-01-21,2021-10-21
370,0,0,0,0,0,0,1,2020-01-21,2021-10-21
333,0,0,0,0,0,0,1,2020-01-21,2021-10-21
190,1,1,1,1,0,0,0,2020-01-11,2020-01-21
4229,0,0,0,0,0,1,1,2020-01-21,2021-10-21
548,0,0,0,0,1,0,0,2020-01-21,2021-10-21
4227,0,0,0,0,0,1,0,2020-01-20,2020-01-21
4556,1,1,1,1,1,0,0,2020-01-20,2020-01-21
291,1,1,1,1,0,0,0,2020-01-21,2021-10-21
3703,0,1,1,1,1,1,1,2020-01-20,2020-01-21
6619,0,0,0,0,0,0,1,2021-10-20,2021-10-20
2506,0,0,0,0,0,0,1,2020-01-21,2021-10-21
6623,0,0,0,0,1,1,0,2021-10-20,2021-10-20
6621,0,0,0,0,1,1,0,2020-01-21,2021-10-21
6620,1,1,1,1,0,0,1,2020-01-21,2021-10-21
4650,0,0,0,0,0,0,1,2020-01-20,2020-01-21
4652,1,1,1,1,1,0,0,2020-01-21,2021-10-21
4651,1,1,1,1,1,0,0,2020-01-11,2020-01-21
999,0,0,0,1,0,0,0,2020-01-22,2020-01-23
6634,0,0,0,0,0,0,1,2020-01-21,2021-10-21
402,1,1,1,1,1,0,0,2020-01-21,2021-10-21
4649,0,0,0,0,0,1,1,2020-01-21,2021-10-21
6633,1,1,1,1,1,0,0,2020-01-20,2020-01-21
3798,0,0,0,0,0,1,1,2020-01-20,2020-01-21
1350,0,0,0,0,0,1,0,2020-01-21,2021-10-21
426,1,1,1,1,1,1,1,2020-01-21,2021-10-21
5522,1,1,1,1,1,0,0,2020-01-20,2020-01-21
4193,0,0,0,0,0,1,1,2020-01-20,2020-01-21
6627,0,0,0,0,0,0,1,2020-01-21,2021-10-21
6638,1,1,1,0,1,0,0,2021-10-11,2021-10-21
6637,0,0,0,1,0,0,0,2021-10-11,2021-10-21
2075,1,1,1,1,1,1,0,2020-01-20,2020-01-21
382,0,0,0,0,0,1,1,2021-10-20,2021-10-20
6639,1,1,1,1,1,1,0,2020-01-21,2021-10-21
7874,0,0,0,0,0,1,1,2020-01-12,2020-01-21
6625,1,1,1,1,1,1,1,2020-01-21,2021-10-21
849,1,1,1,1,1,0,0,2020-01-11,2020-01-21
3791,1,1,1,1,1,1,0,2020-01-20,2020-01-21
5139,1,1,1,1,1,1,1,2020-01-21,2021-10-21
6642,0,1,1,0,1,1,0,2021-10-20,2021-10-21
3621,0,1,1,1,1,0,0,2020-01-21,2021-10-21
6612,1,1,1,1,1,0,1,2020-01-21,2021-10-21
421,0,0,0,0,0,1,0,2020-01-21,2021-10-21
2806,1,1,1,1,1,1,0,2020-01-21,2021-10-21
560,0,0,0,0,1,0,0,2020-01-22,2021-10-10
4734,0,0,0,0,0,1,0,2020-01-21,2021-10-21
1639,0,0,0,0,0,0,1,2020-01-21,2021-10-21
233,0,0,0,0,0,1,0,2020-01-20,2020-01-21
3445,0,0,0,0,0,0,1,2020-01-21,2021-10-21
4732,1,1,1,1,1,0,1,2021-10-10,2021-10-13
3202,0,0,0,0,0,1,1,2020-01-12,2020-01-21
4897,0,0,0,0,1,0,0,2020-01-22,2021-10-10
4731,1,1,1,1,1,0,0,2020-01-20,2020-01-21
4899,0,0,0,0,0,1,1,2020-01-21,2021-10-21
3622,0,1,1,1,1,0,0,2020-01-11,2020-01-21
4733,0,0,0,0,1,0,0,2021-10-20,2021-10-20
2883,0,0,0,0,0,0,1,2020-01-21,2021-10-21
1902,1,0,0,0,0,0,0,2020-01-21,2021-10-21
1636,0,0,0,0,0,0,1,2020-01-21,2021-10-21
7876,1,1,1,1,1,0,0,2020-01-21,2021-10-21
7877,1,1,1,1,1,0,0,2020-01-20,2020-01-21
1981,0,0,0,0,0,1,0,2020-01-21,2021-10-21
3737,1,1,1,1,1,0,0,2020-01-20,2020-01-21
3738,1,1,1,1,1,1,0,2020-01-21,2021-10-21
5611,0,1,1,1,1,0,0,2020-01-20,2020-01-21
6648,1,1,1,1,1,0,0,2020-01-21,2021-10-21
6666,0,0,0,0,0,1,1,2020-01-21,2021-10-21
6616,1,1,1,1,1,0,0,2020-01-20,2020-01-21
4877,0,0,0,1,1,0,0,2020-01-11,2020-01-12
180,1,1,1,1,1,0,0,2020-01-12,2020-01-21
4879,1,1,1,1,1,0,0,2020-01-21,2021-10-21
4161,1,1,1,0,0,0,0,2020-01-22,2020-01-22
261,0,0,0,0,0,1,0,2020-01-12,2020-01-21
6615,1,1,1,1,1,1,1,2020-01-21,2021-10-21
6614,1,1,1,1,1,0,0,2021-10-20,2021-10-21
204,1,1,1,1,1,0,0,2020-01-12,2020-01-12
2372,1,1,1,1,1,0,0,2020-01-12,2020-01-12
414,1,1,1,1,1,0,0,2020-01-11,2020-01-12
203,0,0,0,1,1,0,0,2020-01-11,2020-01-12
1121,1,1,1,1,1,0,0,2020-01-11,2020-01-20
802,1,1,1,1,1,0,0,2020-01-21,2020-01-21
2582,0,1,1,1,1,0,0,2020-01-21,2021-10-10
5491,1,0,0,0,1,0,0,2020-01-12,2020-01-12
435,1,1,1,1,1,0,0,2020-01-11,2020-01-12
622,0,0,1,0,1,0,0,2020-01-12,2020-01-12
9,0,0,0,0,1,0,0,2020-01-12,2020-01-21
