service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8039,0,1,1,0,0,0,0,2020-01-11,2020-01-12
8040,1,0,0,1,0,0,0,2020-01-11,2020-01-12
467,0,0,0,0,1,0,0,2020-01-10,2020-01-21
8041,0,0,0,0,1,0,0,2020-01-10,2020-01-21
249,0,0,0,0,0,1,0,2020-01-10,2020-01-21
8043,1,1,1,1,0,0,0,2020-01-10,2020-01-21
8044,1,1,1,1,0,0,0,2020-01-10,2020-01-21
8045,1,1,1,1,0,1,1,2020-01-10,2020-01-21
1418,0,0,0,0,1,0,0,2020-01-10,2020-01-11
1265,0,0,0,0,1,0,0,2020-01-12,2020-01-21
8046,0,0,0,0,0,1,0,2020-01-10,2020-01-20
8047,0,0,0,0,1,1,1,2020-01-10,2020-01-21
8048,0,0,0,0,0,0,1,2020-01-10,2020-01-20
8049,0,0,0,0,1,0,0,2020-01-10,2020-01-21
8050,0,1,1,1,1,0,0,2020-01-10,2020-01-21
8051,0,0,0,0,0,0,1,2020-01-10,2020-01-20
8052,1,1,1,1,0,0,0,2020-01-10,2020-01-21
8053,1,1,1,1,0,0,0,2020-01-10,2020-01-21
8054,1,0,0,0,0,0,0,2020-01-10,2020-01-20
8056,1,1,1,1,0,0,0,2020-01-10,2020-01-21
8057,1,1,1,1,0,0,0,2020-01-10,2020-01-21
8058,0,0,0,0,1,0,0,2020-01-12,2020-01-20
8059,0,0,0,0,0,0,1,2020-01-10,2020-01-20
8060,0,0,0,0,0,1,0,2020-01-10,2020-01-20
8062,0,0,0,0,1,1,1,2020-01-10,2020-01-21
8064,1,0,0,0,0,0,0,2020-01-10,2020-01-10
8065,0,0,0,0,1,0,0,2020-01-10,2020-01-21
8066,0,1,1,1,1,0,0,2020-01-10,2020-01-21
8067,1,1,1,1,0,1,0,2020-01-10,2020-01-21
8068,1,0,0,0,1,0,1,2020-01-10,2020-01-21
4217,0,0,0,1,0,0,0,2020-01-10,2020-01-21
8069,1,0,0,0,0,0,0,2020-01-10,2020-01-20
8070,1,0,0,0,0,0,0,2020-01-11,2020-01-20
172,0,1,1,1,1,0,0,2020-01-10,2020-01-21
8071,0,0,0,0,1,1,0,2020-01-10,2020-01-21
8072,0,1,1,1,0,1,1,2020-01-10,2020-01-21
8073,1,1,1,0,0,0,0,2020-01-10,2020-01-20
8074,0,1,1,1,0,0,0,2020-01-10,2020-01-21
8075,0,1,1,1,0,1,0,2020-01-10,2020-01-21
2,0,0,0,0,0,0,1,2020-01-10,2020-01-20
8076,1,0,0,1,0,0,0,2020-01-10,2020-01-11
1550,0,0,0,0,1,0,1,2020-01-12,2020-01-21
8077,0,0,0,0,1,0,1,2020-01-10,2020-01-11
8078,1,0,0,0,0,0,0,2020-01-10,2020-01-20
8079,1,0,0,0,1,0,1,2020-01-10,2020-01-21
8080,0,1,1,1,0,0,0,2020-01-10,2020-01-11
8081,1,0,0,0,1,0,0,2020-01-10,2020-01-21
8082,1,0,0,0,0,0,0,2020-01-10,2020-01-20
8083,0,1,1,1,0,0,0,2020-01-11,2020-01-21
8084,0,0,0,1,1,0,0,2020-01-10,2020-01-21
8085,1,1,1,1,0,0,0,2020-01-10,2020-01-21
8087,0,1,1,1,0,0,1,2020-01-10,2020-01-21
8088,0,0,0,0,0,0,1,2020-01-10,2020-01-20
8089,1,0,0,0,0,0,0,2020-01-10,2020-01-20
829,1,1,1,1,1,0,0,2020-01-11,2020-01-21
5889,1,1,1,1,0,0,1,2020-01-10,2020-01-21
1818,1,1,1,1,1,0,0,2020-01-10,2020-01-11
8090,0,1,1,1,1,0,0,2020-01-10,2020-01-21
236,0,0,0,0,0,0,1,2020-01-12,2020-01-20
8091,0,0,0,0,1,0,0,2020-01-12,2020-01-21
184,0,0,0,0,0,0,1,2020-01-10,2020-01-11
8092,1,1,1,1,0,0,0,2020-01-10,2020-01-11
8093,1,1,1,1,0,0,0,2020-01-11,2020-01-21
8094,0,0,0,0,1,1,1,2020-01-10,2020-01-11
8095,1,0,0,0,0,1,1,2020-01-10,2020-01-21
8096,0,0,0,0,1,1,1,2020-01-12,2020-01-21
8097,1,1,1,1,0,1,1,2020-01-10,2020-01-21
8098,1,0,0,0,0,0,0,2020-01-10,2020-01-20
8099,0,1,1,1,1,0,0,2020-01-10,2020-01-21
8100,0,1,1,1,1,0,0,2020-01-11,2020-01-21
8101,0,1,1,1,1,0,0,2020-01-10,2020-01-11
2909,1,1,1,1,0,0,0,2020-01-10,2020-01-11
