car_id,car_type,car_class,number_seat_first_class,number_seat_second_class,train_id
1,VU,A,58,0,1
2,VU,B,0,88,1
3,VTU,B,0,88,1
4,VU,A,58,0,1
5,VU,A,58,0,1
6,VTU,B,0,88,1
7,VTU,B,0,88,1
8,VTU,B,0,88,2
9,VU,B,0,88,2
10,VU,A,58,0,2
11,VTU,A,58,0,2
12,VU,A,58,0,3
13,VTU,A,58,0,3
14,VU,A,58,0,3
15,VU,A,58,0,3
16,VU,B,0,88,3
17,VTU,B,0,88,3
18,VU,A,58,0,3
19,VTU,B,0,88,4
20,VTU,B,0,88,4
21,VU,A,58,0,4
22,VU,B,0,88,4
23,VTU,A,58,0,4
24,VU,B,0,88,4
25,VU,B,0,88,4
26,VTU,B,0,88,5
27,VU,B,0,88,5
28,VU,A,58,0,5
29,VTU,B,0,88,5
30,VU,B,0,88,5
31,VTU,B,0,88,6
32,VU,B,0,88,6
33,VTU,A,58,0,6
34,VU,A,58,0,6
35,VTU,B,0,88,6
36,VU,A,58,0,6
37,VTU,B,0,88,6
38,VU,A,58,0,6
39,VU,A,58,0,7
40,VTU,A,58,0,7
41,VU,B,0,88,7
42,VU,B,0,88,7
43,VU,A,58,0,8
44,VU,A,58,0,8
45,VTU,B,0,88,8
46,VTU,A,58,0,8
47,VU,B,0,88,8
48,VU,A,58,0,9
49,VU,A,58,0,9
50,VU,B,0,88,9
51,VTU,A,58,0,9
52,VTU,B,0,88,9
53,VU,A,58,0,9
54,VU,B,0,88,10
55,VU,A,58,0,10
56,VU,B,0,88,10
57,VU,B,0,88,10
58,VU,B,0,88,10
59,VU,A,58,0,10
60,VTU,B,0,88,10
61,VU,A,58,0,10
62,VTU,A,58,0,11
63,VTU,B,0,88,11
64,VU,A,58,0,11
65,VU,B,0,88,11
66,VU,B,0,88,11
67,VTU,A,58,0,11
68,VU,A,58,0,12
69,VTU,B,0,88,12
70,VU,B,0,88,12
71,VU,A,58,0,12
72,VTU,B,0,88,12
73,VU,A,58,0,13
74,VU,B,0,88,13
75,VU,A,58,0,13
76,VTU,A,58,0,13
77,VTU,A,58,0,13
78,VU,A,58,0,13
79,VU,A,58,0,14
80,VU,A,58,0,14
81,VTU,B,0,88,14
82,VTU,B,0,88,14
83,VU,A,58,0,15
84,VTU,B,0,88,15
85,VU,B,0,88,15
86,VTU,B,0,88,15
87,VU,B,0,88,15
88,VU,A,58,0,16
89,VTU,A,58,0,16
90,VTU,B,0,88,16
91,VU,B,0,88,16
92,VU,A,58,0,16
93,VTU,B,0,88,16
94,VTU,B,0,88,16
95,VU,B,0,88,16
96,VTU,B,0,88,17
97,VTU,B,0,88,17
98,VTU,A,58,0,17
99,VU,B,0,88,17
100,VU,A,58,0,17
101,VTU,A,58,0,17
102,VU,A,58,0,17
103,VU,B,0,88,18
104,VTU,A,58,0,18
105,VU,A,58,0,18
106,VU,A,58,0,18
107,VU,B,0,88,18
108,VTU,B,0,88,18
109,VU,B,0,88,18
110,VU,A,58,0,19
111,VU,B,0,88,19
112,VU,A,58,0,19
113,VTU,A,58,0,19
114,VU,A,58,0,19
115,VTU,B,0,88,19
116,VU,B,0,88,20
117,VTU,A,58,0,20
118,VU,B,0,88,20
119,VU,A,58,0,20
120,VU,A,58,0,20
121,VU,B,0,88,20
122,VU,A,58,0,20
123,VTU,A,58,0,20
124,VU,A,58,0,21
125,VU,A,58,0,21
126,VTU,B,0,88,21
127,VU,A,58,0,21
128,VTU,B,0,88,21
129,VU,B,0,88,21
130,VTU,B,0,88,22
131,VTU,B,0,88,22
132,VTU,B,0,88,22
133,VU,A,58,0,22
134,VU,A,58,0,22
135,VTU,B,0,88,22
136,VU,A,58,0,23
137,VU,A,58,0,23
138,VTU,B,0,88,23
139,VU,B,0,88,23
140,VU,B,0,88,23
141,VTU,A,58,0,24
142,VTU,A,58,0,24
143,VU,A,58,0,24
144,VTU,A,58,0,24
145,VU,B,0,88,24
146,VU,A,58,0,24
147,VU,B,0,88,24
148,VTU,B,0,88,24
149,VTU,B,0,88,25
150,VU,B,0,88,25
151,VU,B,0,88,25
152,VU,B,0,88,25
153,VTU,A,58,0,25
154,VU,A,58,0,25
155,VU,B,0,88,26
156,VU,B,0,88,26
157,VU,A,58,0,26
158,VTU,B,0,88,26
159,VTU,A,58,0,26
160,VU,B,0,88,27
161,VTU,B,0,88,27
162,VTU,B,0,88,27
163,VU,B,0,88,27
164,VU,B,0,88,27
165,VU,B,0,88,28
166,VTU,A,58,0,28
167,VTU,B,0,88,28
168,VU,B,0,88,28
169,VTU,A,58,0,28
170,VTU,A,58,0,28
171,VTU,B,0,88,28
172,VU,B,0,88,28
173,VTU,B,0,88,29
174,VTU,B,0,88,29
175,VTU,A,58,0,29
176,VTU,A,58,0,29
177,VU,A,58,0,29
178,VTU,A,58,0,29
179,VU,B,0,88,29
180,VU,A,58,0,30
181,VTU,A,58,0,30
182,VTU,A,58,0,30
183,VTU,B,0,88,30
184,VTU,B,0,88,30
185,VU,A,58,0,30
186,VTU,B,0,88,30
187,VTU,A,58,0,31
188,VU,B,0,88,31
189,VU,A,58,0,31
190,VU,A,58,0,31
191,VU,B,0,88,31
192,VTU,B,0,88,31
193,VTU,A,58,0,31
194,VU,A,58,0,31
195,VTU,B,0,88,32
196,VTU,A,58,0,32
197,VU,B,0,88,32
198,VU,B,0,88,32
199,VU,B,0,88,32
200,VTU,A,58,0,33
201,VTU,B,0,88,33
202,VU,A,58,0,33
203,VTU,B,0,88,33
204,VU,B,0,88,33
205,VTU,B,0,88,33
206,VU,A,58,0,33
207,VTU,A,58,0,33
208,VU,B,0,88,34
209,VU,B,0,88,34
210,VTU,B,0,88,34
211,VTU,B,0,88,34
212,VTU,B,0,88,34
213,VU,B,0,88,34
214,VU,A,58,0,34
215,VTU,A,58,0,34
216,VTU,A,58,0,35
217,VU,B,0,88,35
218,VTU,A,58,0,35
219,VTU,B,0,88,35
220,VTU,B,0,88,35
221,VU,A,58,0,35
222,VU,A,58,0,36
223,VTU,B,0,88,36
224,VU,A,58,0,36
225,VU,B,0,88,36
226,VU,B,0,88,36
227,VTU,B,0,88,36
228,VU,A,58,0,36
229,VTU,A,58,0,37
230,VTU,A,58,0,37
231,VTU,A,58,0,37
232,VTU,B,0,88,37
233,VTU,A,58,0,37
234,VU,A,58,0,38
235,VTU,B,0,88,38
236,VTU,A,58,0,38
237,VTU,B,0,88,38
238,VU,B,0,88,38
239,VTU,A,58,0,38
240,VU,B,0,88,38
241,VU,A,58,0,38
242,VTU,B,0,88,39
243,VU,A,58,0,39
244,VU,A,58,0,39
245,VU,A,58,0,39
246,VTU,A,58,0,39
247,VU,A,58,0,39
248,VU,B,0,88,39
249,VTU,A,58,0,39
250,VTU,B,0,88,40
251,VU,B,0,88,40
252,VTU,B,0,88,40
